type	x	y	z	tag	br
DCP	-185	1182.5	12	2	1
DCP	-192	1203.5	12	2	1
DCP	-148	1211.5	12	2	1
DCP	-191	1288.5	12	2	1
DCP	-228	1279.5	12	2	1
DCP	-299	1254.5	12	2	1
DCP	-344	1280.5	12	2	1
DCP	-353	1270.5	12	2	1
DCP	-196	1292.5	10.5	2	1
DCP	-162	1330.5	10.5	2	1
DCP	-134	1359.5	10.5	2	1
DCP	-171	1378.5	10.5	2	1
DCP	-145	1403.5	10.5	2	1
DCP	-131	1456.5	10.5	2	1
DCP	-203	1441.5	10.5	2	1
DCP	-216	1458.5	10.5	2	1
DCP	-213	1532.5	10.5	2	1
DCP	-314	1502.5	10.5	2	1
DCP	-321	1480.5	10.5	2	1
DCP	-371	1445.5	10.5	2	1
DCP	-345	1433.5	10.5	2	1
DCP	-371	1413.5	10.5	2	1
DCP	-346	1368.5	10.5	2	1
DCP	-351	1325.5	10.5	2	1
DCP	-320	1384.5	10.5	2	1
DCP	-232	1406.5	10.5	2	1
DCP	-232	1375.5	10.5	2	1
DCP	-254	1557.5	17	2	1
DCP	-289	1543.5	17	2	1
DCP	-272	1603.5	17	2	1
DCP	-311	1587.5	17	2	1
DCP	-338	1584.5	17	2	1
DCP	-308	1634.5	17	2	1
DCP	-267	1660.5	17	2	1
DCP	-220	1608.5	17	2	1
DCP	-190	1566.5	17	2	1
DCP	-129	1601.5	17	2	1
DCP	-179	1663.5	17	2	1
DCP	-220	1665.5	17	2	1
DCP	-291	1678.5	17	2	1
DCP	-301	1700.5	17	2	1
DCP	-349	1698.5	17	2	1
DCP	-363	1741.5	17	2	1
DCP	-353	1739.5	17	2	1
DCP	-201	1725.5	21.5	2	1
DCP	-196	1704.5	21.5	2	1
DCP	-163	1677.5	21.5	2	1
DCP	-153	1741.5	21.5	2	1
DCP	-217	1763.5	21.5	2	1
DCP	-264	1770.5	21.5	2	1
DCP	-176	1807	21.5	2	1
DCP	-173	1827	21.5	2	1
DCP	-212	1881	21.5	2	1
DCP	-220	1881	21.5	2	1
DCP	-251	1910	21.5	2	1
DCP	-256	1926	21.5	2	1
DCP	-298	1886	21.5	2	1
